driverStandingsId,points,position,wins,raceId,driverId
64762,0,20,0,854,37
64763,0,27,0,854,817
64764,0,28,0,854,812
64765,2,18,0,854,811
64766,324,1,9,855,20
64767,178,5,2,855,1
64768,36,9,0,855,808
64769,202,3,1,855,4
64770,194,4,0,855,17
64771,210,2,3,855,18
64772,90,6,0,855,13
64773,13,16,0,855,67
64774,28,11,0,855,16
64775,20,13,0,855,814
64776,16,14,0,855,153
64777,34,10,0,855,2
64778,0,21,0,855,15
64779,0,24,0,855,816
64780,0,25,0,855,10
64781,4,17,0,855,22
64782,63,7,0,855,3
64783,0,22,0,855,5
64784,60,8,0,855,30
64785,1,19,0,855,813
64786,27,12,0,855,155
64787,0,23,0,855,24
64788,13,15,0,855,815
64789,0,26,0,855,39
64790,0,20,0,855,37
64791,0,27,0,855,817
64792,0,28,0,855,812
64793,2,18,0,855,811
64794,349,1,10,856,20
64795,196,5,2,856,1
64796,36,9,0,856,808
64797,212,3,1,856,4
64798,209,4,0,856,17
64799,222,2,3,856,18
64800,98,6,0,856,13
64801,15,15,0,856,67
64802,28,11,0,856,16
64803,21,14,0,856,814
64804,22,13,0,856,153
64805,34,10,0,856,2
64806,0,21,0,856,15
64807,0,24,0,856,816
64808,0,25,0,856,10
64809,4,17,0,856,22
64810,67,7,0,856,3
64811,0,22,0,856,5
64812,60,8,0,856,30
64813,1,19,0,856,813
64814,27,12,0,856,155
64815,0,23,0,856,24
64816,13,16,0,856,815
64817,0,26,0,856,39
64818,0,20,0,856,37
64819,0,27,0,856,817
64820,0,28,0,856,812
64821,2,18,0,856,811
64822,374,1,11,857,20
64823,202,5,2,857,1
64824,36,9,0,857,808
64825,227,3,1,857,4
64826,221,4,0,857,17
64827,240,2,3,857,18
64828,98,6,0,857,13
64829,15,15,0,857,67
64830,30,11,0,857,16
64831,21,14,0,857,814
64832,26,13,0,857,153
64833,34,10,0,857,2
64834,0,21,0,857,15
64835,0,24,0,857,816
64836,0,25,0,857,10
64837,4,17,0,857,22
64838,75,7,0,857,3
64839,0,22,0,857,5
64840,70,8,0,857,30
64841,1,19,0,857,813
64842,27,12,0,857,155
64843,0,23,0,857,24
64844,14,16,0,857,815
64845,0,26,0,857,39
64846,0,20,0,857,37
64847,0,27,0,857,817
64848,0,28,0,857,812
64849,2,18,0,857,811
64850,374,1,11,858,20
64851,227,5,3,858,1
64852,36,9,0,858,808
64853,245,3,1,858,4
64854,233,4,0,858,17
64855,255,2,3,858,18
64856,108,6,0,858,13
64857,15,15,0,858,67
64858,34,11,0,858,16
64859,23,14,0,858,814
64860,26,13,0,858,153
64861,34,10,0,858,2
64862,0,21,0,858,15
64863,0,24,0,858,816
64864,0,25,0,858,10
64865,4,17,0,858,22
64866,83,7,0,858,3
64867,0,22,0,858,5
64868,76,8,0,858,30
64869,1,19,0,858,813
64870,28,12,0,858,155
64871,0,23,0,858,24
64872,14,16,0,858,815
64873,0,26,0,858,39
64874,0,20,0,858,37
64875,0,27,0,858,817
64876,0,28,0,858,812
64877,2,18,0,858,811
64878,392,1,11,859,20
64879,227,5,3,859,1
64880,37,10,0,859,808
64881,257,4,1,859,4
64882,258,3,1,859,17
64883,270,2,3,859,18
64884,118,6,0,859,13
64885,15,15,0,859,67
64886,42,9,0,859,16
64887,27,13,0,859,814
64888,26,14,0,859,153
64889,34,11,0,859,2
64890,0,21,0,859,15
64891,0,24,0,859,816
64892,0,25,0,859,10
64893,4,17,0,859,22
64894,89,7,0,859,3
64895,0,22,0,859,5
64896,76,8,0,859,30
64897,1,19,0,859,813
64898,30,12,0,859,155
64899,0,23,0,859,24
64900,14,16,0,859,815
64901,0,26,0,859,39
64902,0,20,0,859,37
64903,0,27,0,859,817
64904,0,28,0,859,812
64905,2,18,0,859,811
64999,0,24,0,860,39
64997,0,22,0,860,807
64995,0,20,0,860,30
64993,0,18,0,860,5
64991,0,16,0,860,811
64989,0,14,0,860,10
